Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.86,0.0,0.007874015748031496,1.0
RDP,0.0,1.0,1.0,0.9996850393700788,126.96
BU,0.0,1.0,1.0,1.0078740157480315,128.0
VC,0.0,1.0,1.0,1.0,127.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.87,0.40693430656934315,0.11685039370078741,14.84
RDP,0.1,0.82,0.2946708463949843,0.06614173228346457,8.4
BU,0.1,0.89,0.49817518248175185,0.06354330708661417,8.07
VC,0.1,0.91,0.6370967741935484,0.157007874015748,19.94
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.9,0.5283018867924528,0.1611023622047244,20.46
RDP,0.2,0.8,-0.012145748987854255,0.04078740157480315,5.18
BU,0.2,0.8,0.16943521594684374,0.04700787401574804,5.97
VC,0.2,0.85,0.42835365853658536,0.11637795275590551,14.78
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.94,0.7169811320754718,0.2118897637795276,26.91
RDP,0.30000000000000004,0.78,-0.11336032388663964,0.03354330708661417,4.26
BU,0.30000000000000004,0.81,0.0021008403361344463,0.0395275590551181,5.02
VC,0.30000000000000004,0.83,0.3145161290322581,0.1011023622047244,12.84
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.98,0.911660777385159,0.2655905511811024,33.73
RDP,0.4,0.79,-0.025390625,0.027086614173228343,3.44
BU,0.4,0.81,0.0021008403361344463,0.03629921259842519,4.61
VC,0.4,0.85,0.3951612903225806,0.09188976377952754,11.67
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.33456692913385827,42.49
RDP,0.5,0.82,0.017467248908296984,0.01763779527559055,2.24
BU,0.5,0.81,0.0021008403361344463,0.034094488188976375,4.33
VC,0.5,0.84,0.3730407523510971,0.08401574803149606,10.67
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.42157480314960627,53.54
RDP,0.6000000000000001,0.83,-0.051980198019802026,0.010078740157480314,1.28
BU,0.6000000000000001,0.8,-0.09170305676855883,0.03314960629921259,4.21
VC,0.6000000000000001,0.86,0.3816254416961131,0.0778740157480315,9.89
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.5289763779527559,67.18
RDP,0.7000000000000001,0.86,0.0,0.008346456692913385,1.06
BU,0.7000000000000001,0.79,-0.10294117647058831,0.031889763779527555,4.05
VC,0.7000000000000001,0.87,0.40693430656934315,0.07338582677165353,9.32
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.6574015748031495,83.49
RDP,0.8,0.86,0.0,0.008031496062992124,1.02
BU,0.8,0.8,-0.09170305676855883,0.031338582677165355,3.98
VC,0.8,0.87,0.365234375,0.07047244094488189,8.95
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.8254330708661418,104.83
RDP,0.9,0.86,0.0,0.007874015748031496,1.0
BU,0.9,0.8,-0.09170305676855883,0.030708661417322834,3.9
VC,0.9,0.87,0.40693430656934315,0.06724409448818898,8.54
LSF,0.9,0.0,0.0,0.0,0.0
